1. Kategori Shortbow Pemula Putra (2018) - Jarak 3m
Sumber: 1
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,Arshaka Ayman Zaid Saswanto,Rumah Belajar Archery Club,Samarinda,348
2,MUHAMMAD AIDIL SAPUTRARANI,NFH Archery,Samarinda,308
3,Muhammad Taqiyuddin Abdillah,Al- Izzah Archery,Bontang,305
4,Muhammad Abdullah,Ibadurrahaman Archery Club,Kutai Kartanegara,284
5,Khalif Abdurrahman,FAKARCHERY,Samarinda,281
6,Ukkasyah,FAKARCHERY,Samarinda,274
7,Muhammad Arkhan Khalfani,AL AZHAR ARCHERY,Samarinda,270
8,MUHAMMAD ZEESHAN ALMAHDI,AL AZHAR ARCHERY,Samarinda,266
9,Muhammad Sayyid Musyaffa,Tunas Harapan Archery Club,Samarinda,265
10,Rifqi Muhammad Hamasi,FAKARCHERY,Samarinda,236
11,Muammar Bilal Ibrahim,FAKARCHERY,Samarinda,230
12,Muhammad fahri,Tunas harapan archery club,Samarinda,211
13,Uwais Hanif Ibrahim,FAKARCHERY,Samarinda,191
14,Muhammad Rayandra Putra Pratan,Tunas Harapan Archery Club,Samarinda,187
15,Habibi Muhammad Al Fatih,Cakrawala Kaki Langit Archery,Samarinda,178
16,Zahid Hamizan Rabbani,Cakrawala Kaki Langit Archery,Samarinda,0
2. Kategori Shortbow Pemula Putri (2018) - Jarak 3m
Sumber: 2
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,Halimatussa'diah,AL AZHAR ARCHERY,Samarinda,340
2,YUINA SHARAWY SAPUTRARANI,NFH ARCHERY,Samarinda,331
3,Dzakiyyah shofiy,Akademi Horsebow Sejati,Balikpapan,322
4,Raline Mecca El Jasmine,AL AZHAR ARCHERY,Samarinda,320
5,Daisha Arsyila,Prahu Archery,Penajam,312
6,MAUDY AULIA AZZAHRA,FAKARCHERY,Samarinda,290
7,Adiva,AL AZHAR ARCHERY,Samarinda,290
8,Hafizah Adiibah,Al Azhar Archery,Samarinda,281
9,Khairunnisa nur Aprilia,RANTAU ARCHERY,Samarinda,249
10,Alifa Putri Zhafirah Dirgahayu,Cakrawala Kaki Langit Archery,Samarinda,247
11,Bilqis Azizah Azzahra,FAKARCHERY,Samarinda,242
12,Farzana Qiana,FAKARCHERY,Samarinda,176
13,Delisha Almahyra,Prabu Archery,Penajam,170
14,Annisa Shafa Hendriawanti,Akademi Horsebow Sejati,Balikpapan,135
15,Rayta Havva Huri Hayyuna,Cakrawala Kaki Langit Archery,Samarinda,133
16,Maryam Farzana Arrahman,Cakrawala Kaki Langit Archery,Samarinda,97
3. Kategori Shortbow Pelajar SD Kelas 1-2-3 Putra - Jarak 5m
Sumber: 3
Peringkat,Nama Peserta,Nama Club,Asal Kota,Total Skor
1,MUHAMMAD RIDWAN,NFH ARCHERY,Samarinda,603
2,Atharizz Calief Abdillah,Ar Rajwaa Archery Club,Samarinda,598
3,Faidhan Audisepta djatmiko,Khidir Archery Club,Samarinda,597
4,Mohammad Hasbillah,Minu Archery,Balikpapan,582
5,Muhammad Naafi,AL AZHAR ARCHERY,Samarinda,574
6,Arshaka Ayman Zaid Saswanto,Rumah Belajar Archery Club,Samarinda,571
7,Muhammad Al Abbasy Langit Firda,Akademi Horsebow Sejati,Balikpapan,568
8,M u s a,Al-Muhajirin Archery Club,Muara Badak,567
